date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:44:21	36/36	---M--	200	added ('OK')	text/plain	date:Sat,%2009%20Mar%202013%2004:49:51%20GMT	http://www.domerama.com/robots.txt		(from )
17:44:24	113811/113811	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jul%202022%2015:44:22%20GMT	http://www.domerama.com/	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/index.html	(from )
17:44:26	42/42	---M--	200	added ('OK')	text/plain	date:Mon,%2011%20Jul%202022%2015:44:25%20GMT	http://www.domerama.com/xmlrpc.php	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/xmlrpc.php	(from http://www.domerama.com/)
17:44:27	894/894	---M--	200	added ('OK')	image/x-icon	date:Tue,%2008%20Jan%202013%2016:46:44%20GMT	http://www.domerama.com/wp-content/uploads/2012/07/favicon3.ico	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-content/uploads/2012/07/favicon3.ico	(from http://www.domerama.com/)
17:44:27	387/387	---M--	200	added ('OK')	text/css	date:Tue,%2022%20Oct%202013%2013:40:10%20GMT	http://www.domerama.com/wp-content/plugins/nextgen-gallery/products/photocrati_nextgen/modules/nextgen_gallery_display/static/nextgen_gallery_related_images.css?ver=3.6.1	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-content/plugins/nextgen-gallery/products/photocrati_nextgen/modules/nextgen_gallery_display/static/nextgen_gallery_related_imagesa7a0.css	(from http://www.domerama.com/)
17:44:27	5949/5949	---M--	200	added ('OK')	text/css	date:Tue,%2030%20Apr%202013%2000:10:49%20GMT	http://www.domerama.com/wp-content/plugins/sociable/css/sociable.css?ver=3.6.1	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-content/plugins/sociable/css/sociablea7a0.css	(from http://www.domerama.com/)
17:44:28	933/933	---M--	200	added ('OK')	text/css	date:Tue,%2022%20Oct%202013%2013:40:07%20GMT	http://www.domerama.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=3.5.3	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-content/plugins/contact-form-7/includes/css/styles1aae.css	(from http://www.domerama.com/)
17:44:29	2192/2192	---MC-	200	added ('OK')	text/xml	date:Wed,%2017%20Jul%202013%2004:08:18%20GMT	http://www.domerama.com/comments/feed/	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/comments/feed/index.html	(from http://www.domerama.com/)
17:44:29	2826/2826	---M--	200	added ('OK')	text/css	date:Sun,%2010%20Feb%202013%2017:39:56%20GMT	http://www.domerama.com/wp-content/plugins/wp-polls/polls-css.css?ver=2.63	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-content/plugins/wp-polls/polls-css4d49.css	(from http://www.domerama.com/)
17:44:30	76861/76861	---M--	200	added ('OK')	text/css	date:Wed,%2023%20Oct%202013%2012:11:25%20GMT	http://www.domerama.com/wp-content/themes/suffusion/style.css?ver=4.4.7	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-content/themes/suffusion/style946e.css	(from http://www.domerama.com/)
